NAME,OTHER NAMES,EST.,GRAVE LISTING/,TOWNSHIP,MAP LOCATION/,NOTES,CONDITION,LAT,LONG
Metamora,Duck Creek,1845,Burial Listing,Metamora,S36-T12N-R12E,Located on eastside of Duck Creek Road. PHOTOS 2 & 3 BY CEMETERY COMMISSION and are of the old section of the cemetery.,RESTORED 2012,39.4517,-85.1389
Metamora Township,---,,Burial Listing,Metamora,S1-T11N-R12E,---,Unknown,---,---
Methodist,Zion Methodist,1872,Burial Listing,Whitewater,S16-T8N-R1W,"Intersection of English Hill and Mueller Road, south of English, west of Mueller. PHOTO BY CEMETERY COMMISSION.",RESTORED BY WHITEWATER TWP TRUSTEE IN 2009,39.3539,-84.8839
Meyncke Hill,Meyncke,1862,Burial Listing,Brookville,S5-T8N-R2W,PHOTO BY CEMETERY COMMISSION.,Poor,39.3881,-85.0014
Miller,---,1850,Burial Listing,Whitewater,S17-T8N-R1W,"3240 Haining Rd, New Trenton. PHOTO BY CEMETERY COMMISSION.",Poor,39.3525,-84.0994
Mixerville,Gray Private,1823,Burial Listing,Bath,S36-T10N-R1W,"1 mile south and 2.5 miles east of Bath and northeast of Mixerville, southside of Brookville Road in pasture.",RESTORED 2004 by Bruce Coleman Family,39.4908,-84.8172
Mountain Assembly of God,---,1950,Burial Listing,Metamora,---,On St Rd 229 atop Haytown Hill Rd.,Unknown,---,---
Mt Carmel,---,1827,Burial Listing,Springfield,S33-T9N-R1W,West of Mt Carmel on south side of State Road 252.,Excellent,39.4067,-84.8872
Mt Carmel Presbyterian,Presbyterian at Mt Carmel,1828,Burial Listing,Springfield,S28-T9N-R1W,On northside of State Road 252 in Mt Carmel. PHOTOS BY CEMETERY COMMISSION.,Poor,39.4083,-84.8747
Murray,---,1836,Burial Listing,Metamora,S26-T12N-R12E,PHOTO BY CEMETERY COMMISSION.,Good,39.4653,-85.1569
New Trenton,Possum Hollow?,1817,Burial Listing,Whitewater,S32-T8N-R1W,North of New Trenton on east side of US 52. PHOTO 2 BY CEMETERY COMMISSION.,"RESTORED BY ROY HALL, WHITEWATER TWP TRUSTEE, IN 2005",39.3142,-84.9025
Oak Forest Catholic,St Cecelia,1873,Burial Listing,Butler,S21-T11N-R13E,On east side of St Mary's Road at Oak Forest.,Unknown,39.3858,-85.0842
Old Brick,---,1848,Burial Listing,Posey,S11-T12N-R11E,"East side of Scott Road, north of US 52 northeast of Andersonville. PHOTO BY DON DUNAWAY.",RESTORED 2007,39.4997,-85.2789
Old Chapel,"Walker Chapel, Union Chapel",1818,Burial Listing,"Butler Co, OH",,"Reily Township, Butler Co, OH",Unknown,39.4578,-84.8068
Old Franklin,---,1810,Burial Listing,Fairfield,S26-T10N-R2W,Located on South Franklin Church Road near Fairfield Causeway Road on the west side of the roadway. PHOTO BY DON DUNAWAY.,Good,39.5061,-84.9492
Old Johnson Fork Baptist,Baptist,1815,Burial Listing,Whitewater,S26-T8N-R1W,"1 mile south of Drewersburg, on the corner of Drewersburg Road and Carolina Trace Road.",Excellent,39.3272,-84.8389
Oldenburg Catholic,Sisters of St Francis,1867,Burial Listing,Ray,S4-T10N-R2E,"In Oldenburg, adjacent to Holy Family Cemetery",Excellent,39.3436,-84.9378
Osborn-Harvey,St Mary's Public,1848,Burial Listing,Butler,S5-T10N-R13E,On west side of St Mary's Road across from St Mary's Catholic Cemetery. PHOTOS BY CEMETERY COMMISSION.,Good,39.3486,-85.1092
Ottwell,"Ottwell Chapel, Otwell",1830,Burial Listing,Whitewater,S25-T8N-R1W,"West side of Carolina Trace Road, South of the junction with Cox Road. PHOTOS BY MERLE & RUTH SCHLEMMER",RESTORED 1999 by Merle & Ruth Cox Schlemmer and later by WHITEWATER TWP TRUSTEE,39.3236,-84.8278
Peppertown German Lutheran,St Nicholas,1860,Burial Listing,Salt Creek,S15-T11N-R12E,On northside of Beacon Road just west of Peppertown. PHOTOS BY CEMETERY COMMISSION.,RESTORED BY PEPPERTOWN CEMETERY ASSN IN 2012,39.4025,-85.1783
Peppertown Public,---,1850,Burial Listing,Salt Creek,S15-T11N-R12E,On southside of Beacon Road west of Peppertown.,Unknown,39.4017,-85.1786
Pettigrew,---,1838,Burial Listing,Blooming Grove,S11-T12N-R13E,"One mile east of Blooming Grove, south of Fairfield Causeway Road. PHOTOS BY CEMETERY COMMISSION.",RESTORED 2007 by Daniel Wyatt as an Eagle Scout Project,39.5022,-85.0503
Poor Farm,Infirmary,1815,Burial Listing,Brookville,S32-T9N-R2W,"Located off Blue Creek Rd, opposite the Franklin County Park. The tombstones shown behind the sign in the picture are actually in the Stringer Family Cemetery, and the Infirmary Cemetery is the field in front. There are no markers in the field. We do not know the location of any graves but our research indicates sixty or more inmates were buried in the Infirmary Cemetery. The ground was farmed at one time. PHOTOS BY CEMETERY COMMISSION.",RESTORED 2010,39.4056,-85.0125
Posey Twp (abandoned),---,,Burial Listing,Posey,---,---,Poor,---,---
Possum Hollow?,New Trenton,1817,Burial Listing,Whitewater,S32-T8N-R1W,North of New Trenton on east side of US 52. PHOTO 2 BY CEMETERY COMMISSION.,"RESTORED BY ROY HALL, WHITEWATER TWP TRUSTEE, IN 2005",39.3142,-84.9025
Presbyterian at Mt Carmel,Mt Carmel Presbyterian,1828,Burial Listing,Springfield,S28-T9N-R1W,On northside of State Road 252 in Mt Carmel. PHOTOS BY CEMETERY COMMISSION.,Poor,39.4083,-84.8747
Providence,Providence Methodist,1845,Burial Listing,Butler,S14-T10N-R12E,West of Lovers Lane Road near Oldenburg. PHOTO BY CEMETERY COMMISSION.,RESTORED 2012,39.3192,-85.1526
Pruet,---,1856,Burial Listing,Posey,---,Photos by Karen Pruet,Unknown,---,---
Quick,"Quick-Shank, Quick Burial Grounds",1848,Burial Listing,Brookville,S2-T8N-R2W,Located 1000 feet south of Sharp's Hill Road on the Raines Property. PHOTOS BY CEMETERY COMMISSION.,RESTORED 2007,39.3828,-84.9614
Reid,---,1817,Burial Listing,Metamora,---,"At the west end of the town of Metamora, south of US 52 and west of Duck Creek Rd. PHOTO BY CEMETERY COMMISSION.",Good,---,---
Riker Family,---,1846,Burial Listing,Brookville,S33-T12N-R13E,On east side of Goose Creek Road .6 mile from its junction with State Road 52. Access is difficult. PHOTOS BY CEMETERY COMMISSION.,RESTORED 2006,---,---
Robeson,---,1855,Burial Listing,Brookville,S7-T8N-R2W,"3 miles Southwest of Brookville on the North side of Blue Creek Road. PHOTO #1 BY CEMETERY COMMISSION. PHOTO #2 BY DON DUNAWAY AFTER HE, ED BAKER AND WAYNE MONROE CLEARED IT ON A VOLUNTEER BASIS. (This cemetery was established after 1850 and cannot be restored with county funds.)",Fair,39.3694,-85.0386
Rudicel,---,1850,Burial Listing,Whitewater,S20-T8N-R1W,"1 mile South of Elkhorn Road, 200 ft East of Seeley Road. All stones have been removed. PHOTO BY CEMETERY COMMISSION;",RESTORED 2012,39.3376,-84.8829
St Ann's,Hamburg Catholic,1869,Burial Listing,Salt Creek,S24-T11N-R11E,"Located on northside of Hilltop Road near intersection of Rail Fence Road, north of Hamburg.",Excellent,39.3864,-85.2467
St Cecelia of Rome,Oak Forest Catholic,1873,Burial Listing,Butler,S21-T11N-R13E,On east side of St Mary's Road at Oak Forest. PHOTOS BY CEMETERY COMMISSION.,Unknown,39.3858,-85.0842
St Jacob,Blue Creek Catholic,1838,Notes,Dearborn Co,S1-T7N-R3W,Located just south across the county line in Dearborn County on west side of Blue Creek Road,Unknown,39.3064,-85.0536
St John,Huntersville,1836,Burial Listing,Ray,S19-T10N-R12E,Located on north side of the extension of Columbus Avenue just west of Batesville,Unknown,---,-39.3041
St John,South Gate,1815,Burial Listing,Highland,S27-T8N-R2W,"North side of St Peters Road, 1 mile west of South Gate.",Good,39.3214,-84.9703
St John the Evangelist,Enochsburg Catholic,Unknown,Burial Listing,Decatur Co,S9-T10B-R11E,On south side of Enochsburg Road at the intersection of Franklin/Decatur County Line Road at Enochsburg. Church is in Franklin County and cemetery in Decatur,Unknown,39.3339,-85.2975
St Mary of the Rock,St Mary's Catholic,1856,Burial Listing,Butler,S5-T10N-R13E,On east side of St Mary's Road at St Mary's. PHOTOS BY CEMETERY COMMISSION.,Excellent,39.3483,-85.1083
St Mary's Public,Osborn-Harvey,1848,Burial Listing,Butler,S5-T10N-R13E,On west side of St Mary's Road across from St Mary's Catholic Cemetery. PHOTOS BY CEMETERY COMMISSION.,Good,39.3486,-85.1092
St Michael,Brookville Catholic,1854,Burial Listing,Brookville,S20-T9N-R2W,South of State Road 101 at north edge of Brookville. PHOTOS 2-4 BY CEMETERY COMMISSION.,Excellent,39.4303,-85.0086
St Nicholas,"Peppertown, German Lutheran",1860,Burial Listing,Salt Creek,S15-T11N-R12E,On northside of Beacon Road just west of Peppertown. PHOTOS BY CEMETERY COMMISSION.,RESTORED BY PEPPERTOWN CEMETERY ASSN IN 2012,39.4025,-85.1783
St Peter Catholic,---,1836,Burial Listing,Highland,S31-T8N-R2W,Old cemetery on east side and new cemetery on west side of South East Road at St Peter's.,Fair,39.3203,-85.0325
St Peter UCC,"Klemme's Corner, Blue Creek, Gobel's Creek",1845,Burial Listing,Highland,S17-T8N-R2W,"Old cemetery on Highland Center Road, new cemetery on Bossert Road just west of Klemme's Corner. PHOTOS 2 & 3 BY CEMETERY COMMISSION.",Good,---,---
St Philomena,"Willie Thomas Farm, Wolf Creek",1844,Burial Listing,Brookville,S23-T11N-R13E,North of Wolf Creek Road at Greenville Treaty Line.,Fair,39.3917,-85.0486
St Raphael,Old Laurel Catholic,1876,Burial Listing,Laurel,S9-T12N-R12E,Located between Kokomo Hill Road and Commerce Street at the west edge of Laurel. Parish records for St Raphael are located at St Gabriel in Connersville.,Unknown,39.5047,-85.1872
Sater North,---,1856,Burial Listing,Whitewater,S12-T8N-R1W,"On northside of McNally Road, east of Drewersburg Pike. There are a couple of stones left. This cemetery is not eligible for restoration with Cemetery Commission funds. PHOTO BY CEMETERY COMMISSION.",Poor,39.3639,-84.8358
Sater South,---,1840,Burial Listing,Whitewater,S13-T8N-R1W,About 1/3 mile east of Drewersburg Pike and 1/4 mile south of McNally Road. PHOTO BY CEMETERY COMMISSION.,RESTORED 2009,39.3592,-84.8308
Schumacher,Usher,1888,Burial Listing,Brookville,S7-T8N-R2W,At west end of Oak Tree Road. PHOTOS BY CEMETERY COMMISSION.,Good,39.3722,-85.0317
Scipio,Coldwell,Unknown,Burial Listing,Butler Co OH,S1-T8N-R1W,"Located in Butler County, Ohio at junction of State Road 126 & 129 on the state line.",Unknown,---,---
Seely Burial Grounds,---,1849,Burial Listing,Whitewater,S22-T8N-R1W,Located on the Cox property on Mortashed Road.,Poor,39.3469,-84.8567
Senour-Gobel,Gobel,1836,Burial Listing,Laurel,S34-T12N-R12E,2 1/2 miles west of Metamora on northside of US 52. PHOTO BY CEMETERY COMMISSION.,RESTORED 2007,39.4533,-85.1706
Simpson,---,1840,Burial Listing,Laurel,S31-T12N-R12E,"1/2 mile north of Frazier Road, 4 miles south of US 52. PHOTOS BY CEMETERY COMMISSION.",RESTORED 2012,39.4466,-85.2284
Sims-Brier,New Fairfield,1971,Burial Listing,Fairfield,S23-T10N-R2W,The cemetery is made up of graves moved from 13 cemeteries from Franklin and Union Counties that were moved when the Brookville Lake was built in the early 70s.,Excellent,---,---
Sisters of St Francis,Oldenburg Catholic,1867,Burial Listing,Ray,S4-T10N-R2E,"In Oldenburg, adjacent to Holy Family Cemetery",Excellent,39.3436,-84.9378
Snow Hill,---,1816,Burial Listing,Whitewater,S27-T8N-R1W,South side of Snow Hill Road. PHOTO 2 BY CEMETERY COMMISSION.,RESTORED BY WHITEWATER TWP TRUSTEE IN 2005,39.3267,-84.8631
